parent_asin,title,brand,subcategory,price,image_url,review_count,avg_rating,avg_sentiment,positive_pct,negative_pct,total_helpful_votes
B0B3DB5HTC,12 Pack Keurig Filter Replacement by K&J - Compatible with Keurig Coffee Machine (2.0 and older),K&j,Disposable Filters,,https://m.media-amazon.com/images/I/61vsC6JZeAL._AC_SL1039_.jpg,11856,4.86,0.5523,84.71,2.73,1457
B07WTXWC32,"Linda's Essentials Silicone Stove Gap Covers (2 Pack), Heat Resistant Oven Gap Filler Seals Gaps Between Stovetop and Counter, Easy to Clean (25 Inches, White)",Linda's Essentials,Accessories,11.95,https://m.media-amazon.com/images/I/414v6HvDUjL._AC_SL1000_.jpg,8382,4.5,0.5263,81.25,8.23,2526
B000AST3AK,"GE MWF Refrigerator Water Filter | Certified to Reduce Lead, Sulfur, and 50+ Other Impurities | Replace Every 6 Months for Best Results | Pack of 1",Ge,Water Filters,46.98,https://m.media-amazon.com/images/I/714Di-HcZES._AC_SL1500_.jpg,6972,4.34,0.3922,73.16,11.83,4388
B01KJ2FVFW,K&J 12-Pack of Cuisinart Compatible Replacement Charcoal Water Filters for Coffee Makers - Fits all Cuisinart and Braun BrewSense Coffee Makers,K&j,Disposable Filters,16.8,https://m.media-amazon.com/images/I/918KMwOCXwL._AC_SL1500_.jpg,6075,4.85,0.5345,82.50,2.53,734
B00UXG4WR8,"everydrop by Whirlpool Ice and Water Refrigerator Filter 1, EDR1RXD1, Single-Pack , Purple",Everydrop By Whirlpool,Water Filters,53.99,https://m.media-amazon.com/images/I/41ENMmwPWqL._AC_SL1000_.jpg,5819,4.07,0.3018,64.89,16.38,4765
B081KSD3BK,"KITCHEN BASICS 101 WB31M20 and WB31M19 Replacement Range Cooktop Porcelain Drip Pans for GE - Includes 2 6-Inch and 2 8-Inch Pans, 4 Pack",Kitchen Basics 101,Drip Pans,21.43,https://m.media-amazon.com/images/I/51YeOfRYuIS._AC_SL1500_.jpg,5582,4.08,0.4396,74.31,12.99,1976
B09YC8YCV6,"Cuisinart SS-10P1 Premium 72-Ounce Single-Serve Coffemaker, Stainless Steel & Cuisinart HomeBarista Reusable Filter Cup, Gray",Cuisinart,Reusable Filters,162.27,https://m.media-amazon.com/images/I/51g45o6XVAL._AC_SL1001_.jpg,5343,3.69,0.3999,72.26,19.91,7286
B01BIDPHYQ,Best GE MWF Refrigerator Water Filter Smartwater Compatible Cartridge,Best,Water Filters,16.99,https://m.media-amazon.com/images/I/51zOplm5cmL._AC_SL1500_.jpg,5251,4.55,0.4543,78.56,7.05,1313
B0045LLC7K,"Frigidaire WF3CB Puresource3 Refrigerator Water Filter , White, 1 Count (Pack of 1)",Frigidaire,Water Filters,47.0,https://m.media-amazon.com/images/I/61uiIdYgDrL._AC_SL1400_.jpg,5202,4.29,0.3674,69.67,12.40,1273
B092LLM7H3,Reusable coffee pods for Coffee Makers (4 PACK Black and Purple),Delibru,Reusable Filters,8.95,https://m.media-amazon.com/images/I/51EWqKHLs2L._AC_SL1080_.jpg,4990,4.35,0.5301,80.60,10.30,3344
B002JAKRAM,"Frigidaire ULTRAWF PureSource Ultra Water and Ice Refrigerator Filter, Original, 1 Count",Frigidaire,Water Filters,48.99,https://m.media-amazon.com/images/I/61fOUFc2KNL._AC_SL1400_.jpg,4989,4.09,0.3278,67.43,14.71,2203
B07CP1KY9M,"Everyday KWF-12 Charcoal Water Filters for Keurig Coffee Machines, 12 Count (Pack of 1), White",Everyday,Disposable Filters,8.8,https://m.media-amazon.com/images/I/51QW7jLkO3L._AC_SL1000_.jpg,4939,4.37,0.4302,75.70,8.79,1844
B09SHVMDY8,4 Reusable K Cups for Keurig Coffee Makers - BPA Free Universal Fit Purple Refillable Kcups Coffee Filters for 1.0 and 2.0 Keurig Brewers,Goodcups,Reusable Filters,7.95,https://m.media-amazon.com/images/I/81ESbVDmyEL._AC_SL1500_.jpg,4880,4.47,0.5391,82.38,8.46,1236
B0BVFQY9HH,"Waterdrop DA29-00020B NSF 53&42 Certified Refrigerator Water Filter, Replacement for Samsung DA29-00020B, DA29-00020A, HAF-CIN/EXP, 46-9101, WDS-F27, 1 Filter",Waterdrop,Water Filters,19.59,https://m.media-amazon.com/images/I/51Up7tPDmGL._AC_SL1500_.jpg,4821,4.54,0.4741,78.66,8.69,3561
B09VTZ54J7,"GE RPWFE Refrigerator Water Filter | Certified to Reduce Lead, Sulfur, and 50+ Other Impurities | Replace Every 6 Months for Best Results | Pack of 2",Ge,Water Filters,106.93,https://m.media-amazon.com/images/I/71RTN-j2mlL._AC_SL1500_.jpg,4760,3.93,0.256,61.43,18.82,5634
B0C5PR3NWJ,"Waterdrop MWF Water Filter for GE® Refrigerators, Replacement for GE® MWF, SmartWater® MWFP, MWFA, GWF, HDX FMG-1, WFC1201, RWF1060, 197D6321P006, Kenmore® 9991, GSE25GSHECSS, 3 Filters",Waterdrop,Water Filters,33.29,https://m.media-amazon.com/images/I/61KSbhz-S9L._AC_SL1500_.jpg,4651,4.64,0.5244,83.16,5.55,4076
B07P3Y8JWY,"Disposable Paper Coffee Filters 600 count - Compatible with Keurig, K-Cup machines & other Single Serve Coffee Brewer Reusable K Cups - Use Your Own Coffee & Make Your Own Pods - Works with All Brands",Simplecups,Reusable Filters,27.99,https://m.media-amazon.com/images/I/91uTCTf8NwL._AC_SL1500_.jpg,4327,4.11,0.4172,74.76,13.33,2412
B0BHVB8BF4,"SAMSUNG Genuine Filters for Refrigerator Water and Ice, Carbon Block Filtration for Clean, Clear Drinking Water, DA29-00003G, 2 Pack",Samsung,Water Filters,59.0,https://m.media-amazon.com/images/I/81OSxEWu4IL._AC_SL1500_.jpg,4312,3.89,0.3379,69.18,18.48,2705
B07YF9SGBW,GE Profile Opal | Countertop Nugget Ice Maker with Side Tank | Portable Ice Machine with Bluetooth Connectivity | Smart Home Kitchen Essentials | Stainless Steel Finish | Up to 24 lbs. of Ice Per Day,Ge Profile,Ice Makers,,https://m.media-amazon.com/images/I/718+N2+4FlL._AC_SL1500_.jpg,4198,3.44,0.4317,74.51,20.89,19856
B01ALBMIEI,"Giantex Portable Mini Compact Twin Tub Washing Machine 20lbs Washer Spain Spinner Portable Washing Machine, Blue+ White",Giantex,Portable Washers,149.99,https://m.media-amazon.com/images/I/61ydHx1s19L._AC_SL1500_.jpg,4191,4.09,0.5178,78.57,14.55,22862
B0BHNSLKNZ,"Cuisinart Replacement Water Filters, 2-Pack",Cuisinart,Permanent Filters,6.99,https://m.media-amazon.com/images/I/71TMesVlwXL._AC_SL1500_.jpg,4189,4.35,0.4285,74.43,11.82,2288
B07NVJP82G,"AGLUCKY Countertop Ice Maker Machine, Portable Ice Makers Countertop, Make 26 lbs ice in 24 hrs,Ice Cube Ready in 6-8 Mins with Ice Scoop and Basket",Aglucky,Ice Makers,89.94,https://m.media-amazon.com/images/I/61tc7EtEliL._SL1500_.jpg,4150,3.53,0.3439,67.16,23.11,5804
B07CYNWTXK,"Capparis Kitchen Silicone Stove Counter Gap Cover, Easy Clean Heat Resistant Wide & Long Gap Filler, Seals Spills Between Counter, Stovetop, Oven, Washer & Dryer, Set of 2 (21 Inches, White)",Capparis,Accessories,12.99,https://m.media-amazon.com/images/I/61aW9l-1ZZL._AC_SL1500_.jpg,4076,4.53,0.5573,83.12,7.21,850
B01KKUFW34,"Pureline GE MWF Water Filter for GE Refrigerators, Replacement for GE MWF, Smartwater WFC1201, Kenmore 46-9991, GE MWF, MWFP, MWFINT, GWF, GWFA Triple Action Filtration, NSF 372 and NSF 42 Certifite",Pureline,Water Filters,36.96,https://m.media-amazon.com/images/I/71o7Ao7l65L._AC_SL1500_.jpg,3951,4.37,0.4757,78.64,9.47,1108
B081K4Q6KQ,Cimkiz Dishwasher Magnet Clean Dirty Sign Shutter Only Changes When You Push It Non-Scratching Strong Magnet or 3M Adhesive Options Indicator Tells Whether Dishes Are Clean or Dirty (Silver),Cimkiz,Dishwasher Parts & Accessories,7.99,https://m.media-amazon.com/images/I/71Rjkjlx1jL._AC_SL1500_.jpg,3818,4.79,0.5289,82.79,7.75,797
B07SM1PGJW,"2-Item Bundle: 6-Pack Cafe Save Reusable K Cup Coffee Filters + EZ-Scoop 2 Tbsp Coffee Scoop with Integrated Funnel, Refillable Coffee Pod Capsule For Use with Keurig & Select Single Cup Coffee Maker",Perfect Pod,Reusable Filters,16.99,https://m.media-amazon.com/images/I/5165jj6ByQL._AC_SL1000_.jpg,3744,4.38,0.5185,80.69,9.62,1341
B09MQLYPRR,"Everydrop by Whirlpool Ice Filter, F2WC9I1, Single-Pack & Affresh Ice Machine Cleaner, Helps Remove Hard Water and Mineral Buildup for Great-Tasting Ice",Everydrop By Whirlpool,Water Filters,58.94,https://m.media-amazon.com/images/I/51qnvAUOA2L._AC_SL1001_.jpg,3592,3.84,0.2819,64.92,20.04,3551
B06XR8WZX6,"Pureline DA29-00020B, Replacement for Samsung DA29-00020B, Kenmore 46-9101, 469101, 9101, 4609101000, Refrigerator Water Filter - Reduces Bad Taste & Odor",Pureline,Water Filters,39.99,https://m.media-amazon.com/images/I/714r84flprL._AC_SL1500_.jpg,3572,4.45,0.4732,78.42,9.97,1016
B08888J5W1,"Reusable K Cups For Keurig with 100 Counts Paper K Cup Filters, Compatible with Keurig Reusable Coffee Pods Filter 2 Pack, Refillable Single K CUP for Keurig Coffee Maker 2.0 & 1.0",Maxrona,Reusable Filters,16.99,https://m.media-amazon.com/images/I/71YkIC8NNKL._AC_SL1500_.jpg,3570,3.9,0.3923,69.30,15.21,1358
B0C7GKM91B,"EcoAqua EFF-6027A Replacement Filter, Compatible with Samsung DA29-00020B, DA29-00020A, HAF-CIN/EXP, 46-9101 Refrigerator Water Filter",Ecoaqua,Water Filters,11.09,https://m.media-amazon.com/images/I/71TXQ0N6LdL._AC_SL1500_.jpg,3414,4.36,0.4572,78.88,10.52,2435
B0032JTS5E,"Frigidaire WF2CB PureSource2 Ice And Water Filtration System, White,1-Pack",Frigidaire,Water Filters,32.16,https://m.media-amazon.com/images/I/71oxOzNFv1L._AC_SL1500_.jpg,3402,4.26,0.3834,71.96,13.02,1379
B0BS6H2WL5,"EUHOMY Ice Maker Machine Countertop, 26 lbs in 24 Hours, 9 Cubes Ready in 6 Mins, Self-Clean Electric Ice Maker Compact Potable Ice Maker with Ice Scoop and Basket. for Home/Kitchen/Office.(White)",E Euhomy,Ice Makers,49.99,https://m.media-amazon.com/images/I/714pDUKSYzL._SL1500_.jpg,3391,4.24,0.4953,78.97,12.12,2778
B0C57WMPJQ,"Silonn Ice Makers Countertop, 9 Cubes Ready in 6 Mins, 26lbs in 24Hrs, Self-Cleaning Ice Machine with Ice Scoop and Basket, 2 Sizes of Bullet Ice for Home Kitchen Office Bar Party",Silonn,Ice Makers,80.97,https://m.media-amazon.com/images/I/61eMsTk4w0L._SL1500_.jpg,3379,3.73,0.3799,69.28,19.00,6021
B00KJ07SEM,Waterfall Filter - Refrigerator Water Filter Compatible with GE MWF SmartWater Water Filter Cartridge,Waterfall Filter,Water Filters,24.99,https://m.media-amazon.com/images/I/712ov0QgkDL._AC_SL1500_.jpg,3260,4.41,0.5179,83.10,8.83,1419
B078WL6VFS,"Waterspecialist DA29-00020B Refrigerator Water Filter, Replacement for Samsung DA29-00020A/B, HAF-CIN/EXP, DA29-00020B-1, RF25HMEDBSR, RF28HMEDBSR, RS25J500DSR&More Models, 3 Carbon Filters",Waterspecialist,Water Filters,31.59,https://m.media-amazon.com/images/I/71Dv65io+CL._AC_SL1500_.jpg,3236,4.64,0.4988,80.50,6.55,1363
B07D7FSX5C,"Ekobrew Classic Reusable Filter, Keurig 1.0 and 2.0 Compatible - Violet",Ekobrew,Reusable Filters,,https://m.media-amazon.com/images/I/71n+RCqQXpL._AC_SL1500_.jpg,3215,4.05,0.536,80.37,14.37,6292
B087PJ2392,"Filterlogic UKF8001 Replacement for EveryDrop Filter 4, Whirlpool EDR4RXD1, Maytag 4396395, UKF8001AXX-200, UKF8001AXX-750, 46-9006, Puriclean II, FMM-2, FL-RF07, Refrigerator Water Filter, Pack of 3",Filterlogic,Water Filters,27.99,https://m.media-amazon.com/images/I/71VDNpnDXsL._AC_SL1500_.jpg,2931,4.67,0.5196,81.61,5.63,856
B0737B6HGR,"Keurig My K-Cup Reusable K-Cup Pod Coffee Filter, Compatible with All 2.0 Keurig K-Cup Pod Coffee Makers, 1 Count, Black",Keurig,Reusable Filters,10.99,https://m.media-amazon.com/images/I/81+setruoIL._AC_SL1500_.jpg,2903,3.82,0.3567,67.96,19.77,2931
B0BXWBPVYS,"Waterdrop EDR4RXD1 Compatible with EveryDrop Filter 4, Whirlpool UKF8001, 4396395, Maytag UKF8001AXX-200, UKF8001AXX-750, WD-F07, Refrigerator Water Filter, 2 Filters",Waterdrop,Water Filters,21.99,https://m.media-amazon.com/images/I/61WGebIA1nL._AC_SL1500_.jpg,2887,4.66,0.5086,81.40,6.06,3833
B09W8W65XY,"K&J Reusable K Cups Compatible with Keurig, 4 Pack, Black - Includes Freedom Clip for Compatibility With Keurig 2.0 Machines",K&j,Reusable Filters,6.5,https://m.media-amazon.com/images/I/616AwRLu-TL._AC_SL1110_.jpg,2886,4.52,0.5692,83.71,7.62,507
B07RZ4MGXR,"Charcoal Water Filters Replacements Fits Keurig 2.0 Models by Possiave, Pack of 24",Possiave,Disposable Filters,17.99,https://m.media-amazon.com/images/I/81K-yFKju8L._AC_SL1500_.jpg,2869,4.6,0.4463,76.19,6.45,857
B0BTSQRXNZ,"Aprilaire 35 Water Panel Humidifier Filter Replacement for Aprilaire Whole House Humidifier Models 350, 360, 560, 560A, 568, 600, 600A, 600M, 700, 700A, 700M, 760, 760A, 768 (Pack of 2)",Aprilaire,Accessories,26.49,https://m.media-amazon.com/images/I/71yigq0DOtL._SL1500_.jpg,2862,4.7,0.4209,74.81,7.02,980
B0C7CC35KH,"Waterdrop DA29-00020B Replacement for Samsung Water Filter HAF-CIN/EXP, DA29-00020B, HAF-CIN, DA29-00020B-1, RF28HMEDBSR, RF263BEAESR, RS25J500DSR, RF263TEAESG, HDX FMS-2, DA97-08006A-1, 1 Filter",Waterdrop,Water Filters,16.99,https://m.media-amazon.com/images/I/51EsynQJKFL._AC_SL1500_.jpg,2860,4.43,0.443,77.27,10.31,1916
B00VBP8QPO,"everydrop by Whirlpool Ice and Water Refrigerator Filter 2, EDR2RXD1, Single-Pack",Everydrop By Whirlpool,Water Filters,55.08,https://m.media-amazon.com/images/I/41BBhKG-jUL._AC_SL1000_.jpg,2854,4.1,0.306,65.84,14.93,2957
B001ICYB2M,SAMSUNG Heating Element Dc47-00019A,Samsung,Replacement Parts,,https://m.media-amazon.com/images/I/81cU4gWsTnL._AC_SL1500_.jpg,2751,4.61,0.4928,79.03,8.69,1117
B0CFMQLYHG,hOmeLabs Chill Pill Countertop Ice Maker - Perfect Ice in 8 to 10 Minutes - 26 Pounds Per Day Production To Keep You Iced Out Of Your Mind,Homelabs,Ice Makers,,https://m.media-amazon.com/images/I/81y-YfuP81L._SL1500_.jpg,2719,4.04,0.448,74.95,15.04,3345
B000UW2DTE,Whirlpool 4396841 PUR [Fast Fill] FILTER3 Refrigerator Water Filter (1-Pack),Whirlpool,Water Filters,,https://m.media-amazon.com/images/I/615+qS88TVL._AC_SL1001_.jpg,2709,4.47,0.4519,78.00,9.19,470
B0C35WFNZF,"COSMO 5U30 30 in. Under Cabinet Range Hood with Ducted/Ductless Convertible (Kit Not Included), Slim Kitchen Over Stove Vent, 3 Speed Exhaust Fan, Reusable Filter, LED Lights in Stainless Steel",Cosmo,Range Hoods,112.5,https://m.media-amazon.com/images/I/71xVr5dytCL._AC_SL1500_.jpg,2701,4.22,0.5997,85.34,9.89,1412
B00UB38V2A,"everydrop by Whirlpool Ice and Water Refrigerator Filter 4, EDR4RXD1, Single-Pack",Everydrop By Whirlpool,Water Filters,30.18,https://m.media-amazon.com/images/I/51KWC1huK6L._AC_SL1000_.jpg,2684,4.1,0.3221,66.95,15.69,2204
B0B9H5NZRD,"Reston Lloyd Electric Stove Burner Covers, Set of 4, White",Reston Lloyd,Accessories,14.49,https://m.media-amazon.com/images/I/61V5xlMX2nL._AC_SL1500_.jpg,2636,4.2,0.4665,76.21,9.56,1031
