parent_asin,title,brand,subcategory,main_category,price,image_url,review_count,avg_rating,avg_sentiment,positive_pct,total_helpful_votes,quality_score
B0BBYGZMTT,"Dishwasher Magnet Clean Dirty Sign, Universal Clean Dirty Magnet for Dishwasher or Refrigerator, Magnetic Dirty Clean Dishwasher Magnet",Babypop!,Baskets,Amazon Home,7.99,https://m.media-amazon.com/images/I/611WjO6LRNL._AC_SL1500_.jpg,2243,4.9,0.674,92.2,239,0.9408
B08ZHD696S,"Larsic Stove Cover - Protects Electric Stove Washer Dryer Top. Anti-Slip Coating Waterproof Stove Gap Foldable Prevent Scratching, Expands Usable Space (24X21, Black)",Larsic,Replacement Parts,Appliances,30,https://m.media-amazon.com/images/I/811iDmbbnUL._AC_SL1500_.jpg,1706,4.77,0.6999,92.56,1375,0.9322
B0BMV7X9YJ,"Aeropress Original Coffee and Espresso Maker with Tote Bag, Barista Level Portable Coffee Maker with Chamber, Plunger, and Filters, Quick Coffee and Espresso Maker, Made in USA",Aeropress,Disposable Filters,Amazon Home,,https://m.media-amazon.com/images/I/61Wdm3g0edL._AC_SL1500_.jpg,2338,4.72,0.7107,91.66,1520,0.929
B0B3DB5HTC,12 Pack Keurig Filter Replacement by K&J - Compatible with Keurig Coffee Machine (2.0 and older),K&j,Disposable Filters,Amazon Home,,https://m.media-amazon.com/images/I/61vsC6JZeAL._AC_SL1039_.jpg,11856,4.86,0.5523,84.71,1457,0.9191
B09WKP246S,Milk Frothing Pitcher 20oz 600ml - Milk Jug 12 20 30oz - Measurements on Both Sides Inside Plus eBook - Stainless Steel Milk Frother Pitcher Espresso Cappuccino Coffee Latte Art Cup Steaming Pitcher,Satur Coffee,Milk Frothing Pitchers,Amazon Home,16.99,https://m.media-amazon.com/images/I/81GxyOsGHvL._AC_SL1500_.jpg,1407,4.75,0.6065,86.99,688,0.916
B07F4K3HXJ,"Finum Reusable Stainless Steel Coffee and Tea Infusing Mesh Brewing Basket, Medium, Black",Finum,Reusable Filters,Amazon Home,16.5,https://m.media-amazon.com/images/I/71SXD0e0b-L._AC_SL1500_.jpg,1537,4.71,0.6286,88.61,1506,0.915
B01KJ2FVFW,K&J 12-Pack of Cuisinart Compatible Replacement Charcoal Water Filters for Coffee Makers - Fits all Cuisinart and Braun BrewSense Coffee Makers,K&j,Disposable Filters,Amazon Home,16.8,https://m.media-amazon.com/images/I/918KMwOCXwL._AC_SL1500_.jpg,6075,4.85,0.5345,82.5,734,0.9149
B08FDD8GZN,"Frigidaire 316075103 Oven Bake Element & 316442300 8\ Element""",Frigidaire,Oven Parts & Accessories,Appliances,41.89,https://m.media-amazon.com/images/I/41l+P1FK0gL._AC_SL1001_.jpg,1597,4.78,0.5341,82.59,226,0.9086
B073VKD8WJ,(2023 Update) 4 Packs 80040 Washer Agitator Dogs Replacement Kit by BlueStars - Easy to Install - Exact Fit for Whirlpool & Kenmore Washers - Replaces 285612 285770 3366877 387091,Bluestars,Replacement Parts,Tools & Home Improvement,5.99,https://m.media-amazon.com/images/I/61UystI5EkL._AC_SL1500_.jpg,1317,4.91,0.4495,77.22,83,0.9085
B081K4Q6KQ,Cimkiz Dishwasher Magnet Clean Dirty Sign Shutter Only Changes When You Push It Non-Scratching Strong Magnet or 3M Adhesive Options Indicator Tells Whether Dishes Are Clean or Dirty (Silver),Cimkiz,Dishwasher Parts & Accessories,Amazon Home,7.99,https://m.media-amazon.com/images/I/71Rjkjlx1jL._AC_SL1500_.jpg,3818,4.79,0.5289,82.79,797,0.9079
