parent_asin,title,brand,subcategory,price,image_url,average_rating,times_recommended,avg_final_score,avg_als_score,avg_pagerank_score
B07B9L2CD4,Whirlpool WP33002032 Dryer Drum Baffle,Whirlpool,Replacement Parts,,https://m.media-amazon.com/images/I/319D0iwKoAL._AC_SL1280_.jpg,4.1,943462,0.3542,0.5059,1.0E-4
B09BBT67YG,Renato 10 Single Filter Espresso Basket,Barista Improving Taste,Reusable Filters,17.0,https://m.media-amazon.com/images/I/71K+j-hg7FL._AC_SL1500_.jpg,4.5,818923,0.3548,0.5068,0.0
B0C3C61X3J,"FIREGAS Range Hood Insert 30 inch, Ducted/Ductless Range Hoods 800CFM, Kitchen Vent Hood with 3 Speed Exhaust Fan, 2 Baffle Filters, Touch and Gesture Sensing Control Built in Stove Hood",Firegas,Range Hoods,189.89,https://m.media-amazon.com/images/I/71HF+-58+QL._AC_SL1500_.jpg,4.9,708192,0.3549,0.5069,3.0E-4
B09T3LSQZJ,"PartsBroz W11338583 Refrigerator Light Bulb - Compatible Maytag Whirlpool Fridge Light Replacement - Replaces AP6887124 W10565137 850166 - Length is Approx. 3,75 Inches - Easy to Install and Remove",Partsbroz,Replacement Parts,44.71,https://m.media-amazon.com/images/I/51S6kLDtJYL._AC_SL1500_.jpg,4.5,391801,0.3549,0.5069,4.0E-4
B09HHK1TSD,"106.56532400, 106.56533400 Refrigerator Models L8",Phavn,Ice Makers,69.0,https://m.media-amazon.com/images/I/51Hm0nqud2L._SL1500_.jpg,4.9,338595,0.353,0.5043,0.0
B0BK75N9X3,"Dryer Timer W10185976 Replacement parts by B&C Ecom LLC Best Suited for Major Brands Dryer Parts: W10185976, 1481703, WPW10185976, WPW10185976VP",B&cecom Llc,Replacement Parts,,https://m.media-amazon.com/images/I/51uwTfCSMGL._AC_SL1000_.jpg,4.7,321039,0.3528,0.504,0.0
B0BGCJJBNG,"MOUSKE 32 Grid Egg Holder for Refrigerator, 2 Layer Egg Tray for Refrigerator With Time Scale, Egg Storage Container Organizer Bin, Egg Fresh Storage Box for Fridge",Mouske,Egg Trays,15.89,https://m.media-amazon.com/images/I/51kBuQYx8CL._AC_SL1500_.jpg,4.6,318570,0.3475,0.4962,5.0E-4
B00E634LGQ,GE WH23X10018 Misc Parts Pump Complete,Ge,Parts & Accessories,80.33,https://m.media-amazon.com/images/I/51QC6fM2cOL._AC_SL1000_.jpg,5.0,308802,0.3488,0.4982,0.0
B002ZNDYM6,Frigidaire 5304409888 8 Terminal Block Kit,Frigidaire,Parts & Accessories,13.82,https://m.media-amazon.com/images/I/71IKHXQvpxL._AC_SL1500_.jpg,4.7,250673,0.3459,0.4941,0.0
B00MOCTO1I,General Electric WR17X2280 Refrigerator Retainer,Ge,Parts & Accessories,,https://m.media-amazon.com/images/I/514z9eT0fpL._AC_SL1500_.jpg,5.0,219038,0.3478,0.4968,0.0
